DATE,ANALYST,TIME SENT,EVENT DAY,EVENT START,LOCATION,SPORT,EVENT TYPE,EVENT,RACE,NO.,SELECTION,UNITS INVESTED,MARKET ADVICE,BET TYPE,MARKET LINE / TOTAL,RECOMMENDED PRICE,RECORDING METHOD,ODDS ,RESULT,UNITS COLLECTED,P/L,CUMULATIVE P/L,CUMULATIVE UNITS INVESTED,POT%,ROI%,PROFIT ($100 UNIT),BET WIN LOSE,PRICE,COMMISION,EMAIL ODDS,AVAILABLE ODDS,BEST FIXED EMAIL SENT,BEST FIXED CLOSING,BETFAIR SP,BOB/BTSP,BEST TOTE,AGENCY,EMAIL BEST LINE / TOTAL,EMAIL BEST ODDS,RESULT,CLOSING LINE,CLOSING PINNACLE,CLOSING BETFAIR,RESULT,EMAIL,GOAT,BFSP,TF,SP,EMAIL,Mid Tote,GOAT,BFSP
21-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Cottonwood Grove,0.5,,Place,,,,9,L,0,-0.5,263.1,2130.7,12.30%,263.10%,"$26,309.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Dance Of Heros,1.5,,Win,,,,4.4,W,6.6,5.1,268.2,2132.2,12.60%,268.20%,"$26,819.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Dreamforce,1,,Win,,,,8,L,0,-1,267.2,2133.2,12.50%,267.20%,"$26,719.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Hipparchus,1.5,,Win,,,,2,L,0,-1.5,265.7,2134.7,12.40%,265.70%,"$26,569.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Kings Troop,1,,Win,,,,9,L,0,-1,264.7,2135.7,12.40%,264.70%,"$26,469.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Le Chaviler,0.5,,Win,,,,9,L,0,-0.5,264.2,2136.2,12.40%,264.20%,"$26,419.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Pioneering,2,,Win,,,,4.4,L,0,-2,262.2,2138.2,12.30%,262.20%,"$26,219.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Royal Tudor,1.5,,Win,,,,10,L,0,-1.5,260.7,2139.7,12.20%,260.70%,"$26,069.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Surfin Safari,0.3,,Win,,,,101,L,0,-0.25,260.4,2139.9,12.20%,260.40%,"$26,044.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Surfin Safari,0.5,,Place,,,,21,L,0,-0.5,259.9,2140.4,12.10%,259.90%,"$25,994.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Tremizzina,1.5,,Win,,,,10,L,0,-1.5,258.4,2141.9,12.10%,258.40%,"$25,844.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
21-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Ziganui,0.5,,Win,,,,6,L,0,-0.5,257.9,2142.4,12.00%,257.90%,"$25,794.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
23-05-16,Luke Murrell,,Mon,,Australia,Horse Racing,,Gosford,,,Vasileiv,1.5,,Win,,,,1.8,W,2.7,1.2,259.1,2143.9,12.10%,259.10%,"$25,914.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Blowing Kisses,2.5,,Win,,,,2.9,W,7.25,4.75,263.9,2146.4,12.30%,263.90%,"$26,389.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Pale Ale,0.5,,Win,,,,11,L,0,-0.5,263.4,2146.9,12.30%,263.40%,"$26,339.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Proane,0.5,,Win,,,,9,L,0,-0.5,262.9,2147.4,12.20%,262.90%,"$26,289.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Proane,1,,Place,,,,2.6,L,0,-1,261.9,2148.4,12.20%,261.90%,"$26,189.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
25-05-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Triple Snitz,0.5,,Win,,,,10,L,0,-0.5,261.4,2148.9,12.20%,261.40%,"$26,139.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
26-05-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Newcastle,,,Back To Jacko,1.5,,Win,,,,3,W,4.5,3,264.4,2150.4,12.30%,264.40%,"$26,439.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
26-05-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Newcastle,,,Ezeoff,0.5,,Win,,,,20,L,0,-0.5,263.9,2150.9,12.30%,263.90%,"$26,389.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
26-05-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Newcastle,,,Kool Vinnie,1,,Win,,,,5,L,0,-1,262.9,2151.9,12.20%,262.90%,"$26,289.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
26-05-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Newcastle,,,Pecans,0.5,,Win,,,,12,W,6,5.5,268.4,2152.4,12.50%,268.40%,"$26,839.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Amicus,1,,Win,,,,5,L,0,-1,267.4,2153.4,12.40%,267.40%,"$26,739.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Avakoruan,0.5,,Win,,,,18,L,0,-0.5,266.9,2153.9,12.40%,266.90%,"$26,689.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Avakoruan,0.5,,Place,,,,4,L,0,-0.5,266.4,2154.4,12.40%,266.40%,"$26,639.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Barrod,1.5,,Win,,,,4.4,L,0,-1.5,264.9,2155.9,12.30%,264.90%,"$26,489.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Harvard,0.5,,Win,,,,21,L,0,-0.5,264.4,2156.4,12.30%,264.40%,"$26,439.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Doomben,,,Multifacets,0.5,,Win,,,,20,L,0,-0.5,263.9,2156.9,12.20%,263.90%,"$26,389.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Butterboom,1,,Win,,,,9,L,0,-1,262.9,2157.9,12.20%,262.90%,"$26,289.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Caped Crusader,1,,Win,,,,5,L,0,-1,261.9,2158.9,12.10%,261.90%,"$26,189.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Exacta,1,,Place,,,,,L,0,-1,260.9,2159.9,12.10%,260.90%,"$26,089.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,High Dreamer,1,,Win,,,,10,L,0,-1,259.9,2160.9,12.00%,259.90%,"$25,989.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,High Dreamer,1,,Place,,,,3,L,0,-1,258.9,2161.9,12.00%,258.90%,"$25,889.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Kind Heart,1,,Win,,,,14,L,0,-1,257.9,2162.9,11.90%,257.90%,"$25,789.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Rouguish,1.5,,Win,,,,3,L,0,-1.5,256.4,2164.4,11.80%,256.40%,"$25,639.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
28-05-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Sangiovese,1.5,,Win,,,,7,L,0,-1.5,254.9,2165.9,11.80%,254.90%,"$25,489.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Warwick Farm,,,Colour Drops,1.5,,Win,,,,3.6,L,0,-1.5,253.4,2167.4,11.70%,253.40%,"$25,339.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Warwick Farm,,,Don’T Doubt Marley,1,,Win,,,,6,L,0,-1,252.4,2168.4,11.60%,252.40%,"$25,239.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Warwick Farm,,,Don’T Doubt Marley,2.5,,Place,,,,2.5,W,6.25,3.75,256.1,2170.9,11.80%,256.10%,"$25,614.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
01-06-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Warwick Farm,,,Magnajoy,1,,Win,,,,8,W,8,7,263.1,2171.9,12.10%,263.10%,"$26,314.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-16,Luke Murrell,,Fri,,Australia,Horse Racing,,Tamworth,,,Net Effect,1,,Win,,,,6.5,L,0,-1,262.1,2172.9,12.10%,262.10%,"$26,214.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-16,Luke Murrell,,Fri,,Australia,Horse Racing,,Tamworth,,,Storm Ahead,0.5,,Win,,,,16,L,0,-0.5,261.6,2173.4,12.00%,261.60%,"$26,164.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-16,Luke Murrell,,Fri,,Australia,Horse Racing,,Taree,,,Banknote Beau,0.5,,Win,,,,7.5,L,0,-0.5,261.1,2173.9,12.00%,261.10%,"$26,114.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-16,Luke Murrell,,Fri,,Australia,Horse Racing,,Taree,,,Dynamic Dynasty,2.5,,Win,,,,2.4,W,6,3.5,264.6,2176.4,12.20%,264.60%,"$26,464.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
03-06-16,Luke Murrell,,Fri,,Australia,Horse Racing,,Taree,,,Son Of Beck,0.5,,Win,,,,6,L,0,-0.5,264.1,2176.9,12.10%,264.10%,"$26,414.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-06-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Diamonds Are,0.5,,Win,,,,4,L,0,-0.5,263.6,2177.4,12.10%,263.60%,"$26,364.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-06-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Golden Shoes,0.5,,Win,,,,4,L,0,-0.5,263.1,2177.9,12.10%,263.10%,"$26,314.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-06-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Majaska,0.5,,Win,,,,5,L,0,-0.5,262.6,2178.4,12.10%,262.60%,"$26,264.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
08-06-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Most Exalted,0.5,,Win,,,,3,W,1.5,1,263.6,2178.9,12.10%,263.60%,"$26,364.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
09-06-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Gosford,,,Alcheny,1.5,,Win,,,,2.2,L,0,-1.5,262.1,2180.4,12.00%,262.10%,"$26,214.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
09-06-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Gosford,,,Chloes Comet,2,,Win,,,,5,W,10,8,270.1,2182.4,12.40%,270.10%,"$27,014.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
09-06-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Gosford,,,Engami,0.5,,Win,,,,3,L,0,-0.5,269.6,2182.9,12.40%,269.60%,"$26,964.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
09-06-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Gosford,,,Fly Forward,0.5,,Win,,,,3,W,1.5,1,270.6,2183.4,12.40%,270.60%,"$27,064.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Amazvatio,1,,Win,,,,8,L,0,-1,269.6,2184.4,12.30%,269.60%,"$26,964.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Azkadeliia,2,,Win,,,,4,L,0,-2,267.6,2186.4,12.20%,267.60%,"$26,764.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Dance On Stars,0.5,,Win,,,,34,L,0,-0.5,267.1,2186.9,12.20%,267.10%,"$26,714.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Dance On Stars,1,,Place,,,,60,L,0,-1,266.1,2187.9,12.20%,266.10%,"$26,614.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Howard Be Thy Name,2,,Win,,,,4.4,L,0,-2,264.1,2189.9,12.10%,264.10%,"$26,414.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Bogie,1.5,,Win,,,,9,L,0,-1.5,262.6,2191.4,12.00%,262.60%,"$26,264.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Bold Adventure,2,,Win,,,,5,L,0,-2,260.6,2193.4,11.90%,260.60%,"$26,064.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Letsawin,2.5,,Win,,,,4.6,W,11.5,9,269.6,2195.9,12.30%,269.60%,"$26,964.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Lips Areios,2.5,,Win,,,,7,L,0,-2.5,267.1,2198.4,12.20%,267.10%,"$26,714.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Prince Dylan,1,,Win,,,,7,L,0,-1,266.1,2199.4,12.10%,266.10%,"$26,614.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Rupavari,2,,Win,,,,3,L,0,-2,264.1,2201.4,12.00%,264.10%,"$26,414.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Teneroa,2,,Win,,,,7,L,0,-2,262.1,2203.4,11.90%,262.10%,"$26,214.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Badajoz,1,,Win,,,,6,L,0,-1,261.1,2204.4,11.80%,261.10%,"$26,114.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Blazing Steel,1.5,,Win,,,,15,L,0,-1.5,259.6,2205.9,11.80%,259.60%,"$25,964.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Gibraltor Girl,1,,Win,,,,9,L,0,-1,258.6,2206.9,11.70%,258.60%,"$25,864.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Invitations,1,,Win,,,,12,L,0,-1,257.6,2207.9,11.70%,257.60%,"$25,764.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Invitations,1.5,,Place,,,,3,L,0,-1.5,256.1,2209.4,11.60%,256.10%,"$25,614.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
11-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Randwick,,,Tuchanoo,1.5,,Win,,,,4,W,6,4.5,260.6,2210.9,11.80%,260.60%,"$26,064.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
12-06-16,Luke Murrell,,Sun,,Australia,Horse Racing,,Hawkesbury,,,No Escape,2,,Win,,,,6,L,0,-2,258.6,2212.9,11.70%,258.60%,"$25,864.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
12-06-16,Luke Murrell,,Sun,,Australia,Horse Racing,,Hawkesbury,,,Sweet Fella,2.5,,Win,,,,3.5,L,0,-2.5,256.1,2215.4,11.60%,256.10%,"$25,614.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
12-06-16,Luke Murrell,,Sun,,Australia,Horse Racing,,Hawkesbury,,,Volier,1,,Win,,,,2.5,L,0,-1,255.1,2216.4,11.50%,255.10%,"$25,514.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
12-06-16,Luke Murrell,,Sun,,Australia,Horse Racing,,Sunshine Coast,,,Wine Barrel,4,,Win,,,,2.8,L,0,-4,251.1,2220.4,11.30%,251.10%,"$25,114.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,High Mist,1.5,,Win,,,,4,W,6,4.5,255.6,2221.9,11.50%,255.60%,"$25,564.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Newcastle,,,Kool Vinnie,1,,Win,,,,4.8,L,0,-1,254.6,2222.9,11.50%,254.60%,"$25,464.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Disgraceful,1,,Win,,,,4.2,L,0,-1,253.6,2223.9,11.40%,253.60%,"$25,364.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Flmboyant Lass,1.5,,Win,,,,4.8,L,0,-1.5,252.1,2225.4,11.30%,252.10%,"$25,214.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Freeze The Charges,0.5,,Place,,,,7,L,0,-0.5,251.6,2225.9,11.30%,251.60%,"$25,164.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Powerline,0.5,,Win,,,,4.8,L,0,-0.5,251.1,2226.4,11.30%,251.10%,"$25,114.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Schezozo,1,,Win,,,,14,L,0,-1,250.1,2227.4,11.20%,250.10%,"$25,014.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
18-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Rosehill,,,Schezozo,1,,Place,,,,4,W,4,3,253.1,2228.4,11.40%,253.10%,"$25,314.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
19-06-16,Luke Murrell,,Sun,,Australia,Horse Racing,,Muswellbrook,,,Black Misty,1,,Win,,,,2.6,L,0,-1,252.1,2229.4,11.30%,252.10%,"$25,214.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
19-06-16,Luke Murrell,,Sun,,Australia,Horse Racing,,Muswellbrook,,,Mystery,1.5,,Win,,,,2.8,W,4.2,2.7,254.8,2230.9,11.40%,254.80%,"$25,484.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
19-06-16,Luke Murrell,,Sun,,Australia,Horse Racing,,Muswellbrook,,,Rothsbeirger,1.5,,Win,,,,3.6,L,0,-1.5,253.3,2232.4,11.30%,253.30%,"$25,334.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
19-06-16,Luke Murrell,,Sun,,Australia,Horse Racing,,Muswellbrook,,,Takeovertiger,1.5,,Win,,,,5.5,W,8.25,6.75,260.1,2233.9,11.60%,260.10%,"$26,009.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
22-06-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Ciarlet,1.5,,Win,,,,5,L,0,-1.5,258.6,2235.4,11.60%,258.60%,"$25,859.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
22-06-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Gone To Paris,0.5,,Win,,,,14,L,0,-0.5,258.1,2235.9,11.50%,258.10%,"$25,809.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
22-06-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Knit N Purl,0.5,,Win,,,,12,L,0,-0.5,257.6,2236.4,11.50%,257.60%,"$25,759.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
22-06-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Pennisula Avenue,0.5,,Place,,,,5,L,0,-0.5,257.1,2236.9,11.50%,257.10%,"$25,709.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
22-06-16,Luke Murrell,,Wed,,Australia,Horse Racing,,Canterbury,,,Tremor,1,,Win,,,,6,W,6,5,262.1,2237.9,11.70%,262.10%,"$26,209.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
23-06-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Newcastle,,,Divergence,1,,Win,,,,4.8,W,4.8,3.8,265.9,2238.9,11.90%,265.90%,"$26,589.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
23-06-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Newcastle,,,Divergence,1,,Place,,,,1.7,W,1.7,0.7,266.6,2239.9,11.90%,266.60%,"$26,659.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
23-06-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Newcastle,,,Epitomse,1,,Win,,,,2.7,L,0,-1,265.6,2240.9,11.90%,265.60%,"$26,559.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
23-06-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Newcastle,,,Galaxy Jak,0.5,,Win,,,,8,L,0,-0.5,265.1,2241.4,11.80%,265.10%,"$26,509.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
23-06-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Newcastle,,,Local Hero,0.5,,Win,,,,7,W,3.5,3,268.1,2241.9,12.00%,268.10%,"$26,809.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
23-06-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Newcastle,,,Local Hero,0.5,,Place,,,,2.3,W,1.15,0.65,268.7,2242.4,12.00%,268.70%,"$26,874.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
23-06-16,Luke Murrell,,Thu,,Australia,Horse Racing,,Newcastle,,,Oxford Poet,0.5,,Win,,,,7,L,0,-0.5,268.2,2242.9,12.00%,268.20%,"$26,824.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
25-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Artistry,0.5,,Win,,,,18,L,0,-0.5,267.7,2243.4,11.90%,267.70%,"$26,774.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
25-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Artistry,0.5,,Place,,,,4,L,0,-0.5,267.2,2243.9,11.90%,267.20%,"$26,724.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
25-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Into The Red,0.5,,Win,,,,7,W,3.5,3,270.2,2244.4,12.00%,270.20%,"$27,024.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
25-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Into The Red,1,,Place,,,,2.4,W,2.4,1.4,271.6,2245.4,12.10%,271.60%,"$27,164.00 ",W,,,,,,,,,,,,,,,,,,,,,,,,,,
25-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Multi (place),1,,Win,,,,5,L,0,-1,270.6,2246.4,12.00%,270.60%,"$27,064.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
25-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Multi (place),2.5,,Win,,,,3,L,0,-2.5,268.1,2248.9,11.90%,268.10%,"$26,814.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
25-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Onemore Zeta,0.5,,Place,,,,15,L,0,-0.5,267.6,2249.4,11.90%,267.60%,"$26,764.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
25-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Perfect Dare,0.5,,Win,,,,8,L,0,-0.5,267.1,2249.9,11.90%,267.10%,"$26,714.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
25-06-16,Luke Murrell,,Sat,,Australia,Horse Racing,,Eagle Farm,,,Perfect Dare,1,,Place,,,,3,L,0,-1,266.1,2250.9,11.80%,266.10%,"$26,614.00 ",L,,,,,,,,,,,,,,,,,,,,,,,,,,
