DATE,ANALYST,TIME SENT,EVENT DAY,EVENT START,LOCATION,SPORT,EVENT TYPE,EVENT,RACE,NO.,SELECTION,UNITS INVESTED,MARKET ADVICE,MARKET TYPE,MARKET LINE / TOTAL,BET          LINE / TOTAL,AGENCY,W.E.I. ODDS,RESULT,UNITS COLLECTED,P/L,CUMULATIVE P/L,CUMULATIVE UNITS INVESTED,POT%,ROI%,PROFIT ($100 UNIT),BET WIN LOSE,PRICE,COMMISION,EMAIL ODDS,AVAILABLE ODDS,BEST FIXED EMAIL SENT,BEST FIXED CLOSING,BETFAIR SP,BOB/BTSP,BEST TOTE,AGENCY,EMAIL BEST LINE / TOTAL,EMAIL BEST ODDS,RESULT,CLOSING LINE,CLOSING PINNACLE,CLOSING BETFAIR,RESULT,EMAIL,GOAT,BFSP,TF,SP,EMAIL,Mid Tote,GOAT,BFSP,MID TOTE,HIGHEST FIXED CLOSING PRICE,SB OPENING PRICE,BFSP Converted P&L Less Commission,BFSP Price Less Commission,Fixed,Fixed Converted P&L Less Stake,BOB
9/09/2017,John's Analytics,,Sat,1348,Australia,Horse Racing,,GOLD COAST,3,3,SNAPPER,1,,Place,,,Lux,1.9,0,0,-1,4.9,33.5,14.70%,4.90%,492,F,,,1.8,1.85,1.8,2.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1431,Australia,Horse Racing,,KILMORE,5,5,STEEL CAPS,0.5,,Win,,,Lux,9.5,0,0,-0.5,4.4,34,13.00%,4.40%,442,F,,,9.5,10,9.5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1431,Australia,Horse Racing,,KILMORE,5,5,STEEL CAPS,1,,Place,,,Tatts,2.7,0,0,-1,3.4,35,9.80%,3.40%,342,F,,,2.7,2.8,2.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1446,Australia,Horse Racing,,ARMIDALE,3,3,NOT A PRINCESS,0.5,,Win,,,Tatts,2.8,0,0,-0.5,2.9,35.5,8.20%,2.90%,292,F,,,2.5,2.5,2.5,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1446,Australia,Horse Racing,,ARMIDALE,3,3,NOT A PRINCESS,1,,Place,,,Lux,1.4,3,1.4,0.4,3.3,36.5,9.10%,3.30%,332,W,,,1.28,1.3,1.28,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1454,Australia,Horse Racing,,KEMBLA GRANGE,5,6,MISSED OUT,0.5,,Win,,,VicFix,4.4,0,0,-0.5,2.8,37,7.60%,2.80%,282,F,,,4.4,4.6,4.4,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1454,Australia,Horse Racing,,KEMBLA GRANGE,5,6,MISSED OUT,1,,Place,,,CB,1.85,0,0,-1,1.8,38,4.80%,1.80%,182,F,,,1.85,1.91,1.85,1.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1528,Australia,Horse Racing,,DALBY,5,9,MUSIC SCENE,0.5,,Win,,,SB,12,0,0,-0.5,1.3,38.5,3.40%,1.30%,132,F,,,12,13,12,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1528,Australia,Horse Racing,,DALBY,5,9,MUSIC SCENE,1,,Place,,,BZ,3.2,0,0,-1,0.3,39.5,0.80%,0.30%,32,F,,,3.2,3.4,3.2,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1538,Australia,Horse Racing,,GOLD COAST,6,1,GO THE GANTRY,0.5,,Win,,,Lux,2.6,0,0,-0.5,-0.2,40,-0.50%,-0.20%,-18,F,,,2,2,2,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/09/2017,John's Analytics,,Sat,1538,Australia,Horse Racing,,GOLD COAST,6,1,GO THE GANTRY,1,,Place,,,CB,1.5,0,0,-1,-1.2,41,-2.90%,-1.20%,-118,F,,,1.3,1.36,1.3,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2017,John's Analytics,,Sun,1355,Australia,Horse Racing,,SUNSHINE COAST,3,1,CORNFORTH,0.5,,Win,,,CB,3.1,0,0,-0.5,-1.7,41.5,-4.10%,-1.70%,-168,F,,,2.35,2.4,2.35,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2017,John's Analytics,,Sun,1355,Australia,Horse Racing,,SUNSHINE COAST,3,1,CORNFORTH,1,,Place,,,SB,1.4,3,1.4,0.4,-1.3,42.5,-3.00%,-1.30%,-128,W,,,1.24,1.25,1.24,1.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2017,John's Analytics,,Sun,1525,Australia,Horse Racing,,SALE,6,8,GUNN ISLAND,0.5,,Win,,,Lux,2.7,0,0,-0.5,-1.8,43,-4.10%,-1.80%,-178,F,,,2.6,2.6,2.6,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2017,John's Analytics,,Sun,1525,Australia,Horse Racing,,SALE,6,8,GUNN ISLAND,1,,Place,,,SB,1.35,0,0,-1,-2.8,44,-6.30%,-2.80%,-278,F,,,1.35,1.36,1.35,1.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2017,John's Analytics,,Sun,1544,Australia,Horse Racing,,MUSWELLBROOK,5,1,INVINCIBLE BOT,0.5,,Win,,,CB,3.2,0,0,-0.5,-3.3,44.5,-7.40%,-3.30%,-328,F,,,3.2,3.3,3.2,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/09/2017,John's Analytics,,Sun,1544,Australia,Horse Racing,,MUSWELLBROOK,5,1,INVINCIBLE BOT,1,,Place,,,Lux,1.4,2,1.4,0.4,-2.9,45.5,-6.30%,-2.90%,-288,W,,,1.4,1.5,1.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
