DATE,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
18-Oct-20,14:05,LISMORE,2,7 –AUTUMN SPLENDOUR,M.MCGUREN,7X1,,
18-Oct-20,14:10,KILMORE,3,10 – GRINZINGER LORD,D.OLIVER,2,2ND,$1.10
18-Oct-20,14:30,NOWRA,2,13 – SOLAR FLASH,T.SHERRY(A),3,WINNER,$1.81 /$1.20
18-Oct-20,14:45,KILMORE,4,1 – NIRVANA,B.RAWILLER,X24,2ND,/$1.43
18-Oct-20,14:50,SUNSHINE COAST,4,1 – MISHANI SCANDAL,J.ORMAN,1,,
18-Oct-20,15:00,HORSHAM,4,2 – LORD OF DARKNESS,T.BULL(A),442,WINNER,$2.42 /$1.26
18-Oct-20,15:05,NOWRA,3,7 – BELLE OF CLONMEL,J.TAYLOR,833,,
18-Oct-20,15:15,LISMORE,4,10 – ANACREON,S.TRAECEY,6X3,2ND,/$3.10
18-Oct-20,15:20,KILMORE,5,4 – SNOWS BRO,D.STACKHOUSE,681,WINNER,$20.00 /$5.00
18-Oct-20,15:50,LISMORE,5,14 - COOL INTELLIGENCE,T.WOLFGRAM,453,,
18-Oct-20,16:00,SUNSHINE COAST,6,10 – ONE MORE PINOT,L.CASSIDY,X34,,
18-Oct-20,16:25,KILMORE,7,11 – HE’S A BATTLER,,,LATE,SCRATCHING
18-Oct-20,16:30,LISMORE,6,3 – FALLOW,B.LOOKER,6X4,,
18-Oct-20,16:45,SUNSHINE COAST,7,1 – DANEZEL,B.NOTHDURFT,22,3RD,/$1.21
18-Oct-20,16:55,NOWRA,6,9 – NOBLE SOLDIER,B.RYAN(A),X11,2ND,/$2.32
18-Oct-20,17:05,LISMORE,7,9 – HUEY,B.HODDER,163,,
18-Oct-20,17:10,HORSHAM,8,12 – ROTATOR,M.RODD,2X3,WINNER,$3.35 /$1.79
18-Oct-20,17:30,KILMORE,9,5 – LORD MARKEL,J.MASKIEL,482,2ND,/$1.34
18-Oct-20,18:00,SUNSHINE COAST,9,1 – ALL TO DO (BEST BET),J.ORMAN,X22,2ND,/$1.26
,,,,,,,,
,,,,,,,,
,,,,,,,,
17-Oct-20,12:50,CAULFIELD,2,2 – RAINBIEL,D.HOLLAND,X11,3RD,/$1.30
17-Oct-20,13:25,CAULFIELD,3,2 – OSAMU (BEST BET),D.LANE,244,2ND,/$2.14
17-Oct-20,13:45,HOBART,1,8 – SUNSOUTGUNSOUT,S.CARR,2,,
17-Oct-20,13:56,NEWCASTLE,2,5 – BALLISTIC MOON,S.GUYMER,X63,3RD,/$1.40
17-Oct-20,14:00,CAULFIELD,4,2 – ALBARADO,M.ZAHRA,383,WINNER,$5.40 /$2.14
17-Oct-20,14:06,AVOCA,4,10 – ZUIICHI,C.RAWILLER(A),7,,
17-Oct-20,14:11,MORPHETVILLE,3,3 – RITRATTO,R.HURDLE,11,3RD,/$1.25
17-Oct-20,14:15,RANDWICK,4,4 – ELIZABEEL,J.COLLETT,211,3RD,/$2.14
17-Oct-20,14:18,BENDIGO,4,8 – NEWZEEL DEAL,B.ALLEN,8X2,2ND,/$1.25
17-Oct-20,14:20,HOBART,2,3 – MISS ENTHUSIASM,P.LUI(A),X63,,
17-Oct-20,14:31,NEWCASTLE,3,4 – SIGNIFICANCE,A.BULLOCK,X83,3RD,/$1.90
17-Oct-20,14:35,CAULFIELD,5,2 – CHICA FUERTE,B.MELHAM,123,WINNER,$5.80 /$2.12
17-Oct-20,14:41,AVOCA,5,3 – FORTYFIVEDEGREES,W.PRICE(A),622,WINNER,$2.86 /$1.30
17-Oct-20,14:50,RANDWICK,5,11 – FENDER,K.MCEVOY,X17,,
17-Oct-20,14:55,HOBART,3,2 – BANDINELLI,C.JORDAN(A),425,3RD,/$2.74
17-Oct-20,14:58,DOOMBEN,4,1 – FASNET CYCLONE (BEST BET),B.NOTHDURFT,113,3RD,/$1.53
17-Oct-20,15:06,NEWCASTLE,4,3 – BLUFF N BUSTER,A.COLLETT,1X6,3RD,/$1.96
17-Oct-20,15:10,CAULFIELD,6,3 – FITUESE,C.WILLIAMS,2X1,2ND,/$1.37
17-Oct-20,15:14,WAGGA,4,8 – EVANORA,E.HENNESSY(A),3,2ND,/$2.00
17-Oct-20,15:18,GOLD COAST,4,5 – CABOCHON LIL,T.WOLFGRAM,X31,,
17-Oct-20,15:25,RANDWICK,6,4 – STANDOUT,N.RAWILLER,X55,2ND,/$1.90
17-Oct-20,15:33,DOOMBEN,5,4 – OH FIVE GLORY,A.THOMPSON(A),342,2ND,/$1.45
17-Oct-20,15:45,CAULFIELD,7,6 – ALFA ORO,B.MELHAM,1X1,,
17-Oct-20,15:48,ROCKHAMPTON,3,3 – HOMECALL,E.SMITH(A),83X,,
17-Oct-20,15:50,WAGGA,5,9 – DANCIN TILL DAWN,E.HENNESSY(A),342,,
17-Oct-20,16:23,DOOMBEN,6,11 – DON’T STOP,M.CAHILL,323,,
17-Oct-20,16:25,NARROMINE,7,2 – ROGUE RUNNER,E.MEREDITH(A),137,,
17-Oct-20,16:30,CAULFIELD,8,9 – WINDSTORM,W.PIKE,211,,
17-Oct-20,16:42,WAGGA,6,10 – AHEAD START,S.MILLER,1,3RD,/$1.40
