DATE,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
24-Sep-20,13:35,LISMORE,2,2 – BOSENDI,B.LOOKER,672,WINNER,$3.55 /$1.42
24-Sep-20,13:50,HAWKESBURY,2,1 – EXPLOSIVE TRUTH,S.CLIPPERTON,5X2,2ND,/$1.10
24-Sep-20,14:10,LISMORE,3,9 – CANEXCELL,S.TRAECY,222,WINNER,$1.70 /$1.10
24-Sep-20,14:25,HAWKESBURY,3,1 – LUVOIR,K.LATHAM,412,WINNER,$2.60 /$1.30
24-Sep-20,14:30,SALE,4,12 – MISS INBETWEEN,W.PIKE,X22,WINNER,$2.40 /$1.20
24-Sep-20,14:34,IPSWICH,4,9 – VALLEY OF DREAMS,L.CASSIDY,X62,WINNER,$1.70 /$1.20
24-Sep-20,14:45,LISMORE,4,6 – BLUE KENTUCKY MOON,M.MCGUREN,21,WINNER,$2.10 /$1.22
24-Sep-20,15:05,HAWKESBURY,4,3 – SWEET REPLY,T.BERRY,3X2,2ND,/$1.42
24-Sep-20,15:15,IPSWICH,5,4 – PHIONAIX,L.CASSIDY,461,3RD,/$1.25
24-Sep-20,15:40,HAWKESBURY,5,7 – LORD OLYMPUS,T.SCHILLER(A),11,2ND,/$1.25
24-Sep-20,15:48,IPSWICH,6,4 – BOOM GIRL,R.MALONEY,X23,,
24-Sep-20,16:05,LISMORE,6,3 – TIVOLI STREET,M.MCGUREN,X92,,
24-Sep-20,16:27,IPSWICH,7,5 – VINASTA,B.NOTHDURFT,112,2ND,/$1.28
24-Sep-20,16:30,SALE,8,9 – A PINCH OF LUCK,E.BROWN,142,WINNER,$2.30 /$1.26
24-Sep-20,16:40,LISMORE,7,1 – TOP PROSPECT (BEST BET),D.GIBBONS(A),742,2ND,/$1.50
24-Sep-20,17:04,IPSWICH,8,12 – LYRICAL GIRL,R.MALONEY,2X1,WINNER,$1.35 /$1.03
24-Sep-20,17:30,HAWKESBURY,8,3 – LA TIGRESA,K.LATHAM,211,3RD,/$1.40
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,TODAY’S SELECTIONS,,,,,,,
,23-Sep-20,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
23-Sep-20,13:35,FLEMINGTON,2,1 – PEGGY SELENE,M.CARTWRIGHT(A),611,,
23-Sep-20,13:43,EAGLE FARM,2,11 – COME IN SPINNER,M.CAHILL,3X2,2ND,/$1.44
23-Sep-20,14:00,CANTERBURY,2,6 – PATROLLING,B.AVDULLA,11,3RD,/$1.45
23-Sep-20,14:10,FLEMINGTON,3,4 – THE BRUMBY,L.CURRIE,122,,
23-Sep-20,14:18,EAGLE FARM,3,5 – GOLDEN MEAN (BEST BET),R.MALONEY,X11,WINNER,$2.80 /$1.68
23-Sep-20,14:25,STRATHALBYN,2,6 – LORNE,B.VORSTER,3X,WINNER,$1.43 /$1.08
23-Sep-20,14:35,CANTERBURY,3,5 – RELUCENT,H.BOWMAN,732,WINNER,$6.40 /$1.82
23-Sep-20,14:45,FLEMINGTON,4,8 – PERFECT WORLD,L.CURRIE,222,,
23-Sep-20,14:53,EAGLE FARM,4,3 – SEEINGISBELIEVING,R.MALONEY,512,WINNER,$3.60 /$1.41
23-Sep-20,15:10,CANTERBURY,4,6 – MR MOSAIC,R.DOLAN,6X1,2ND,/$1.35
23-Sep-20,15:20,FLEMINGTON,5,11 – OCULAR,J.MCNEIL,6X1,,
23-Sep-20,15:28,EAGLE FARM,5,7 – MANTELLI,M.CAHILL,442,,
23-Sep-20,15:35,STRATHALBYN,4,6 – LUCKY DOG,A.JORDSJO,1,2ND,/$1.40
23-Sep-20,15:45,CANTERBURY,5,1 – JUAN DIVA,J.V-OVERMEIR(A),X62,,
23-Sep-20,15:49,BELMONT,1,1 – SURVEILLANCE,J.BROWN,832,2ND,/$1.40
23-Sep-20,15:55,FLEMINGTON,6,11 – LETS KARAKA DEEL,J.ALLEN,21,,
23-Sep-20,16:20,CANTERBURY,6,1 – BIG PARADE (BEST BET),J.PARR,X41,LATE,SCRATCHING
23-Sep-20,16:38,EAGLE FARM,7,2 – LEADERSHIP SPILL,T.HARRISON,6X1,2ND,/$1.35
23-Sep-20,16:55,CANTERBURY,7,2 – KINGSHIER,N.RAWILLER,312,,
23-Sep-20,16:59,BELMONT,3,11 – RECITING,T.TURNER,532,,
23-Sep-20,17:05,FLEMINGTON,8,10 – EARS THE BARMAN,L.NOLEN,X12,,
23-Sep-20,17:20,STRATHALBYN,7,7 – PIVOTAL FORCE,J.TOEROEK,123,LATE,SCRATCHING
23-Sep-20,17:35,BELMONT,4,6 – INFLATION,M.PATEMAN,263,2ND,/$1.70
,,,,,,,,
,22-Sep-20,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
22-Sep-20,13:05,WYONG,1,3 – WRITE ON,J.PARR,0X4,3RD,/$1.15
22-Sep-20,13:25,BEAUDESERT,1,2 - MONDENA,B.THOMPSON,125,,
22-Sep-20,13:30,KYNETON,2,10 – BAAQYAH,D.STACKHOUSE,4X2,WINNER,$1.41 /$1.11
22-Sep-20,13:40,WYONG,2,7 – MALKOVICH (BEST BET),R.KING,6X3,WINNER,$1.59 /$1.06
22-Sep-20,14:20,WYONG,3,6 – BALLISTIC LOVER,B.AVDULLA,32X,WINNER,$2.32 /$1.25
22-Sep-20,14:55,WYONG,4,4 – OVERTHINK,J.V-OVERMIERE(A),672,WINNER,$2.84 /$1.34
22-Sep-20,15:30,KYNETON,6,2 – SIRIUS DEAL,J.LLOYD(A),433,LATE,SCRATCHING
22-Sep-20,15:35,WYONG,5,4 – LET ME THINK,R.BAYLISS,323,3RD,/$2.02
22-Sep-20,15:50,BEAUDESERT,5,2 – YABA DABI DOYA,N.FAZACKERLEY(A),652,3RD,/$2.36
22-Sep-20,16:10,WYONG,6,2 – ATHERTON,B.AVDULLA,6X1,3RD,/$2.40
22-Sep-20,16:45,WYONG,7,8 – SIESTA KEY,B.AVDULLA,0X2,,
22-Sep-20,17:00,KYNETON,9,6 – MILLIE THE MISSILE,J.MOTT,353,,
22-Sep-20,17:05,BEAUDESERT,7,3 – OUR ROCKY,C.TAYLOR,453,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,TODAY’S SELECTIONS,,,,,,,
,21-Sep-20,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
21-Sep-20,12:40,ORANGE,2,3 – ATTUNED,S.MILLER,192,,
21-Sep-20,13:00,GRAFTON,1,3 – BEAR THE CROWN,R.SPOKES,601,,
21-Sep-20,13:15,ORANGE,3,8 – SMART AINT HE,B.CRAY,342,2ND,/$2.25
21-Sep-20,13:30,ARARAT,2,6 – AULD REGRET,D.YENDALL,3,WINNER,$3.20 /$1.50
21-Sep-20,13:35,GRAFTON,2,1 – DOMINANT CROWN,K.W-TAYLOR(A),X83,LATE,SCRATCHING
21-Sep-20,13:50,ORANGE,4,2 – JUST A FLASH (BEST BET),E.W-HA,X21,WINNER,$2.00 /$1.20
21-Sep-20,14:10,GRAFTON,3,6 – HURRICANE MAX,L.KILNER(A),222,3RD,/$1.55
21-Sep-20,14:25,ORANGE,5,1 – AUTUMN FALLS,G.RYAN,X52,WINNER,$2.15 /$1.12
21-Sep-20,14:45,GRAFTON,4,1 – GILLICKS WAY,K.MATHESON,242,WINNER,$4.30 /$1.60
21-Sep-20,15:00,ARARAT,5,1 – CLEVER APPROACH,D.BATES,X22,3RD,/$1.22
21-Sep-20,15:05,ORANGE,6,5 – MOWANJUM,A.STANLEY(A),783,,
21-Sep-20,15:20,GRAFTON,5,5 – UPRISE (BEST BET),B.LOOKER,X23,2ND,/$1.30
21-Sep-20,16:00,ARARAT,7,8 – UNDOUBTEDLY SO,M.LAWRENCE(A),337,,
21-Sep-20,16:35,GRAFTON,7,5 – HELMET HEAD,B.LOOKER,642,3RD,/$1.40
21-Sep-20,16:50,ORANGE,9,11 - NORTHERN CONQUEROR,G.RYAN,282,,
21-Sep-20,17:00,ARARAT,9,4 – CREDIBLE WITNESS,B.EGAN,452,3RD,/$1.60
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,TODAY’S SELECTIONS,,,,,,,
,20-Sep-20,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
20-Sep-20,12:35,DEVONPORT,2,8 – SPARKLING ONE,B.MCCOULL,342,2ND,/$1.26
20-Sep-20,13:15,DEVONPORT,3,1 – KOHIMA,B.MCCOULL,0X3,3RD,/$1.50
20-Sep-20,13:30,SUNSHINE COAST,2,4 – GOLDEN MISSILE,L.DITTMAN,233,WINNER,$1.95 /$1.18
20-Sep-20,13:35,MURRAY BRIDGE,1,3 –MEADOWS YOUNG BUCK,C.JONES(A),462,WINNER,$1.90 /$1.15
20-Sep-20,13:40,ARMIDALE,2,5 – RIGHTFUL HEIR,B.CRAY,32,WINNER,$1.60 /$1.08
20-Sep-20,13:50,DEVONPORT,4,10 – TURK DELIGHT,I.TOKER,2,WINNER,$4.00 /$1.45
20-Sep-20,13:55,NOWRA,2,1 – WESTGROVE,B.RYAN(A),3,2ND,/$2.05
20-Sep-20,14:05,SUNSHINE COAST,3,2 – BATTLE THROUGH,B.NEWPORT,152,,
20-Sep-20,14:15,ARMIDALE,3,10 – DESMOS,A.MORGAN,32,3RD,/$1.28
20-Sep-20,14:25,DEVONPORT,5,9 – GEE GE E TOP TIP,P.LUI(A),43,2ND,/$3.30
20-Sep-20,14:30,NOWRA,3,5 – SUNSTONE,L.MAGGORIAN,223,3RD,/$1.28
20-Sep-20,14:35,BALLARAT,4,10 – TANGO GOLD,D.YENDALL,223,2ND,/$1.75
20-Sep-20,14:45,MURRAY BRIDGE,3,12 - ZOIST (BEST BET),B.VORSTER,34,WINNER,$1.70 /$1.18
20-Sep-20,14:50,ARMIDALE,4,5 – RUBEL,L.KILNER(A),23,,
20-Sep-20,15:00,DEVONPORT,6,10 – SHEORTA,B.MCCOULL,322,,
20-Sep-20,15:29,KALGOORLIE,1,6 – AURAE,M.DERRICK(A),732,,
20-Sep-20,15:37,DEVONPORT,7,1 – DIVISOR,S.CARR,143,3RD,/$1.63
20-Sep-20,15:40,BALLARAT,6,2 – IRISH PLAYBOY,M.POY(A),1X1,,
20-Sep-20,15:45,NOWRA,5,10 – LAND AHOY,J.PENZA,1X3,,
20-Sep-20,15:50,MURRAY BRIDGE,5,2 – BRIMARVI ROOBOY,B.VORSTER,153,3RD,/$1.87
20-Sep-20,15:54,SUNSHINE COAST,6,16 YOURJOKINGME RIGHT (BEST BET),S.CORMACK,222,WINNER,$1.86 /$1.13
20-Sep-20,16:02,ARMIDALE,6,1 – AIR MARSHAL,R.JONES(A),492,WINNER,$2.22 /$1.21
20-Sep-20,16:06,KALGOORLIE,2,6 – SIZZLING AFFAIR,J.TURNER,463,3RD,/$2.14
20-Sep-20,16:10,BALLARAT,7,5 – INFLUENTIAL JACK,D.LANE,6X2,2ND,/$1.47
20-Sep-20,16:15,DEVONPORT,8,7 – RED LETTER LADY,B.MCCOULL,X11,3RD,/$1.39
20-Sep-20,16:24,NOWRA,6,1 – SKYRAY,J.VAN OVERMEIR(A),453,WINNER,$3.10 /$1.34
20-Sep-20,16:36,KALGOORLIE,3,1 – MANHATTEN MONEY,M.PATEMAN,211,2ND,/$1.29
20-Sep-20,17:08,SUNSHINE COAST,8,8 – ANGOLA MISS,L.TARRANT,522,WINNER,$5.20 /$1.96
20-Sep-20,17:17,KALGOORLIE,4,1 – STAADEN,M.PATEMAN,513,WINNER,$2.30 /$1.26
20-Sep-20,17:15,BALLARAT,9,2 – MEAN MISTER,B.EGAN,42,,
20-Sep-20,17:50,KALGOORLIE,5,2 – REGAL COUNSEL,M.PATEMAN,462,2ND,/$1.30
,,,,,,,,
,19-Sep-20,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
19-Sep-20,11:48,GOLD COAST,1,1 – MISHANI MISS (BEST BET),S.THOMLINSON(A),121,,
19-Sep-20,12:15,RANDWICK,1,6 – ZAKAT,K.MCEVOY,312,,
19-Sep-20,12:23,GOLD COAST,2,10 – EXPRESS FANTASY,R.MALONEY,112,WINNER,$2.90 /$1.35
19-Sep-20,12:30,CAULFIELD,1,3 – CELESTIAL SOL,C.WILLIAMS,652,,
19-Sep-20,12:50,RANDWICK,2,15 – IT’S ME,J.COLLETT,11,WINNER,$1.95 /$1.22
19-Sep-20,13:01,WAGGA,1,3 – DEEMED CORRUPT,S.MILLER,322,,
19-Sep-20,13:13,IPSWICH,2,7 – DANITES,M.HELLYER,322,2ND,/$1.65
19-Sep-20,13:33,GOLD COAST,4,1 – MISHANI FRAUDSTER,S.TOMLINSON(A),153,,
19-Sep-20,13:36,WAGGA,2,5 – PACKERS BOND,K.NISBET,21,WINNER,$1.25 /$1.04
19-Sep-20,14:00,RANDWICK,4,1 – DAME GISELLE,T.BERRY,X11,WINNER,$2.70 /$1.30
19-Sep-20,14:25,IPSWICH,4,5 – RISING STAR,A.FANCOURT,142,WINNER,$1.40 /$1.04
19-Sep-20,14:38,MACKAY,3,1 – STARSONIC (BEST BET),T.BANNON,422,2ND,/$1.22
19-Sep-20,14:44,BELMONT,2,1 – DOM TO SHOOT,C.PARNHAM,2X2,3RD,/$1.20
19-Sep-20,14:45,DALBY,6,11 – REMEMBER BELLA,H.PHILLIPS,472,3RD,/$1.80
19-Sep-20,15:03,IPSWICH,5,6 – MAIN DE FOI,M.HELLYER,6X3,,
19-Sep-20,15:17,MACKAY,4,3 – MAGIC CODY,T.BANNON,351,,
19-Sep-20,15:23,DALBY,7,10 – WITHOUT CHOICE,M.GRAY,36,WINNER,$2.40 /$1.10
19-Sep-20,15:27,GOLD COAST,7,13 – KISUKANO,M.DU PLESSIS,311,2ND,/$1.04
19-Sep-20,15:31,WAGGA,5,6 – I AM BOLT,B.MCDOUGALL,X91,,
19-Sep-20,15:35,CAULFIELD,6,2 – AIDENSFIELD,D.STACKHOUSE,1X2,2ND,/$1.50
19-Sep-20,15:46,MORPHETVILLE,6,3 – RULER BY CHOICE,B.VORSTER,312,,
19-Sep-20,15:56,MACKAY,5,2 – SUCH A WHIT (BEST BET),J.STANLEY,161,2ND,/$1.26
19-Sep-20,16:25,ALICE SPRINGS,4,5 – SILENT ICE,W.KERFORD,6X2,,
19-Sep-20,16:31,TATURA,8,10 – UNDERPASS,D.HOLLAND,533,WINNER,$5.50/ $2.05
19-Sep-20,16:36,MACKAY,6,8 – TA CHANSON,S.WISEMAN,451,2ND,/$1.60
19-Sep-20,17:05,MORPHETVILLE,8,5 – GARNER,J.HOLDER,2X5,,
19-Sep-20,17:25,CAULFIELD,9,6 – LYRE,L.CURRIE,3X2,,
19-Sep-20,17:36,ALICE SPRINGS,6,1 – CHOPSTICKS,D.MORGAN(A),143,WINNER,$3.60/ $1.50
,,,,,,,,
,,,,,,,,
,,,,,,,,
,TODAY’S SELECTIONS,,,,,,,
,18-Sep-20,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
18-Sep-20,12:45,CANBERRA,1,4 – DANCE TOO HARD,K.NISBET,X71,,
18-Sep-20,12:55,GEELONG,1,10 – RIVER TWAIN,D.OLIVER,7X2,WINNER,$2.20 /$1.33
18-Sep-20,13:08,KILCOY,3,6 – SONIC ARROW,A.PATIS(A),222,2ND,/$1.60
18-Sep-20,13:20,CANBERRA,2,1 – EAGLEHAWK,K.NISBET,2X2,,
18-Sep-20,13:30,GEELONG,2,2 – CAPTAIN SPUD,B.MELHAM,3,,
18-Sep-20,13:35,NEWCASTLE,1,6 – REACHING (BEST BET),J.MCDONALD,X31,2ND,/$1.20
18-Sep-20,14:10,NEWCASTLE,2,8 – SIDEARM,T.BERRY,X33,3RD,/$1.65
18-Sep-20,14:30,GEELONG,4,7 – MASSEUSE,J.MCNEIL,33X,,
18-Sep-20,14:50,NEWCASTLE,3,4 – BARGAIN,J.PARR,X43,WINNER,$5.60 /$1.80
18-Sep-20,15:00,GEELONG,5,8 – FEDERICK THE DANE,M.RODD,221,LATE,SCRATCHING
18-Sep-20,15:10,CANBERRA,5,1 – MACCOMO (BEST BET),B.MCDOUGALL,3X2,,
18-Sep-20,15:25,NEWCASTLE,4,4 – AKASAKI,K.JENNINGS,582,WINNER,$4.80 /$1.80
18-Sep-20,15:30,GEELONG,6,12 – UNBLUSHING,J.CUMMINGS,412,,
18-Sep-20,15:34,KILCOY,7,3 – LYRICAL PRINCE,J.G-CHEST,233,WINNER,$5.00 /$1.85
18-Sep-20,15:45,CANBERRA,6,4 – MAD AS ZARIZ,K.NISBET,X12,2ND,/$2.10
18-Sep-20,16:00,GEELONG,7,8 – WRISTBAND,M.WALKER,192,,
18-Sep-20,16:20,CARNARVON,1,6 – MIAMI MOON,J.GRAY(A),642,3RD,/$1.30
18-Sep-20,16:25,CANBERRA,7,10 – ROYAL MONARCH,M.HEAGNEY,331,2ND,/$3.70
18-Sep-20,16:40,NEWCASTLE,6,1 – MUGATOO,K.MCEVOY,X11,WINNER,$2.25/ $1.30
18-Sep-20,17:00,GEELONG,9,3 – KUZCO LAD,C.WILLIAMS,X31,WINNER,$3.20 /$1.35
18-Sep-20,17:05,CANBERRA,8,5 – BLAZING MAC,C.LEVER,X33,WINNER,$1.65 /$1.12
18-Sep-20,17:20,NEWCASTLE,7,2 – ASIAGO,R.KING,9X1,,
18-Sep-20,17:35,CARNARVON,3,6 – SWANKY LASS,J.GRAY(A),512,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,TODAY’S SELECTIONS,,,,,,,
,17-Sep-20,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
17-Sep-20,12:35,NARROMINE,1,8 – NICOLA,G.BUCKLEY,X52,,
17-Sep-20,13:25,KEMBLA GRANGE,1,2 – HIGHMASTER,K.LATHAM,7X2,WINNER,$2.80 /$1.40
17-Sep-20,13:30,ECHUCA,1,7 – SINGING SWORD,D.MOOR,3X2,WINNER,$3.10 /$1.40
17-Sep-20,14:00,ECHUCA,2,6 – JOHNNY CHUTZPAH,D.HOLLAND,22,,
17-Sep-20,14:25,NARROMINE,4,8 –NORTHERN CONQUERER,A.MORGAN,282,LATE,ABANDONED
17-Sep-20,14:40,KEMBLA GRANGE,3,3 – REVENIRE,T.BERRY,21X,,
17-Sep-20,15:48,NORTHAM,1,2 – APPLE SCHNAPPS,C.PARNHAM,6X3,WINNER,$2.80 /$1.28
17-Sep-20,15:55,KEMBLA GRANGE,5,11 – SALATEEN,T.BERRY,523,WINNER,$2.70 /$1.40
17-Sep-20,16:08,TOWNSVILLE,6,3 – LIGHTHORSE LAD,B.PRNGELLY,114,2ND,/$1.60
17-Sep-20,16:55,NARROMINE,8,10 – MOWANJUM,R.JONES(A),783,LATE,ABANDONED
17-Sep-20,17:08,NORTHAM,3,7 – XAN BIO,A.KENNEDY,522,WINNER,$2.15 /$1.29
17-Sep-20,17:15,KEMBLA GRANGE,7,4 – CHALK,T.BERRY,855,,
17-Sep-20,17:25,TOWNSVILLE,8,3 – SYLVESTER,W.D'AVILA,X32,WINNER,$4.00 /$1.65
17-Sep-20,17:45,NORTHAM,4,4 – CLASSIC MAGNUS (BEST BET),L.WARWICK,411,BEST,BET
,,,,,,,,
,16-Sep-20,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
16-Sep-20,12:05,BALACLAVA,1,1 – ALEEBOOM,J.OPPERMAN(A),1X2,,
16-Sep-20,13:00,BENDIGO,1,5 – RAAZOU,D.OLIVER,213,,
16-Sep-20,13:35,BENDIGO,2,3 – BARADE,L.RIORDAN(A),X91,2ND,/$1.73
16-Sep-20,14:00,WARWICK FARM,2,3 – MALKOVICH,R.KING,6X3,LATE,SCRATCHING
16-Sep-20,14:18,EAGLE FARM,3,7 – CHAUFFEUR,R.MALONEY,0X1,2ND,/$1.25
16-Sep-20,14:25,BALACLAVA,5,1 - ALLACCIATO,E.BOYD,0X1,WINNER,$5.50 /$1.73
16-Sep-20,14:35,WARWICK FARM,3,7 – BUCHAREST,J.MCDONALD,11,,
16-Sep-20,14:53,EAGLE FARM,4,1 – CLOAK (BEST BET),R.MALONEY,111,2ND,/$1.16
16-Sep-20,15:00,BALACLAVA,6,5 – TURF TAPPER,J.POTTER,742,3RD,/$1.50
16-Sep-20,15:20,BENDIGO,5,6 – EARLY MORNING RISE,D.OLIVER,X32,3RD,/$1.50
16-Sep-20,15:28,EAGLE FARM,5,2 – I AM SWERVING (BEST BET),R.MALONEY,5X2,WINNER,$2.35 /$1.57
16-Sep-20,15:45,WARWICK FARM,5,5 – PLAQUETTE,H.BOWMAN,0X1,LATE,SCRATCHING
16-Sep-20,15:49,BELMONT,2,6 – FIERY BAY,C.J-POR,523,,
16-Sep-20,15:55,BENDIGO,6,13 – SHOTMAKER,M.DEE,123,WINNER,$2.90 /$1.35
16-Sep-20,16:03,EAGLE FARM,6,6 – PAPER TRADE,N.DAY,272,,
16-Sep-20,16:20,WARWICH FARM,6,8 – JOVIALITY,J.MCDONALD,311,WINNER,$2.30 /$1.30
16-Sep-20,16:38,EAGLE FARM,7,6 – SAYL,R.MALONEY,133,LATE,SCRATCHING
16-Sep-20,16:45,BALACLAVA,9,3 – TRIP,M.COLLETT(A),422,WINNER,$2.10 /$1.25
16-Sep-20,16:55,WARWICK FARM,7,12 – ROYAL MARINE,L.MAGGORIAN,1X1,WINNER,$10.00/$3.00
16-Sep-20,17:05,BENDIGO,8,9 – THE GAUCH,J.MCNEIL,X21,WINNER,$2.10 /$1.10
16-Sep-20,17:13,EAGLE FARM,8,2 – MCCOVEY COVE,R.MALONEY,1X1,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,TODAY’S SELECTIONS,,,,,,,
,15-Sep-20,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
15-Sep-20,13:00,WODONGA,1,2 – BAAQYAH,D.STACKHOUSE,4X2,LATE,SCRATCHING
15-Sep-20,13:08,YEPPOON,1,1 – DIP DYE,M.POTGEITER(A),X32,2ND,/$1.57
15-Sep-20,13:20,TAREE,1,1 – ANOTHER SONETTE,D.GIBBONS(A),742,,
15-Sep-20,13:55,TAREE,2,2 – CONDOVER HALL,J.KEHOE,223,WINNER,$3.40 /$1.50
15-Sep-20,14:10,COROWA,2,2 – STAR OF TENNESSEE,B.MCDOUGALL,431,,
15-Sep-20,14:30,WODONGA,4,14 – ORPHELINE,T.NUGENT(A),32,WINNER,$2.60 /$1.40
15-Sep-20,14:35,TAREE,3,8 – ENAMOUR,S.LISNYY,322,LATE,SCRATCHING
15-Sep-20,14:50,C0ROWA,3,10 – SUBMISSION,B.WARD,432,WINNER,$3.60 /$1.50
15-Sep-20,15:00,WODONGA,5,1 – VALENTINA STAR,M.LAWRENCE(A),712,LATE,SCRATCHING
15-Sep-20,15:25,COROWA,4,8 – PROVEN CLASS,W.COSTIN,6X2,WINNER,$1.60 /$1.17
15-Sep-20,15:34,YEPPOON,5,1 – FLYING CRACKERJACK (BEST BET),J.STANLEY,X21,WINNER,$2.00 /$1.30
15-Sep-20,15:45,TAREE,5,2 – FOUR EGOS,R.JONES(A),2X3,3RD,/$1.67
15-Sep-20,16:25,TAREE,6,4 – FOREVER JUDE,J.PENZA,8X2,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,TODAY’S SELECTIONS,,,,,,,
,14-Sep-20,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
14-Sep-20,13:25,MORUYA,1,4 – ELTHAM PALACE,B.MCDOUGALL,11X,2ND,/$1.60
14-Sep-20,13:45,TAMWORTH,1,6 – ENAMOUR,,,LATE,SCRATCHING
14-Sep-20,14:00,HAMILTON,2,4 – LOVE BROKER,J.FRY,3,2ND,/$1.20
14-Sep-20,14:05,MORUYA,2,6 – THE TAPSTER,B.MCDOUGALL,22,3RD,/$1.60
14-Sep-20,14:20,TAMWORTH,2,1 – MEYISTI (BEST BET),A.BULLOCK,X32,WINNER,$2.40 /$1.33
14-Sep-20,14:30,HAMILTON,3,8 – THERE FOR YOU,M.LLOYD(A),773,,
14-Sep-20,14:40,MORUYA,3,1 – SCARLEO,J.FORD,X28,WINNER,$4.80 /$1.45
14-Sep-20,14:55,TAMWORTH,3,1 – ANOTHER ARLI,M.BELL,822,WINNER,$1.75 /$1.14
14-Sep-20,15:15,MORUYA,4,5 – YOUNG HEART,B.MCDOUGALL,693,WINNER,$4.20 /$1.57
14-Sep-20,15:30,HAMILTON,5,2 – ACCREDITATION,D.MOOR,332,,
14-Sep-20,15:35,TAMWORTH,4,1 – SHAME WARNED,A.MORGAN,121,,
14-Sep-20,16:00,HAMILTON,6,8 – SALOME,J.ALLEN,4X2,3RD,/$1.80
14-Sep-20,17:05,MORUYA,7,3 – PETALUMA,B.MCDOUGALL,351,WINNER,$8.50 /$2.50
,,,,,,,,
,13-Sep-20,,,,,,,
,TIME,VENUE,RACE,SELECTION,JOCKEY,LAST 3 STARTS,RESULT,WIN/PLACE
13-Sep-20,12:40,DUBBO,2,4 – LYGIA,E.W-HA,352,,
13-Sep-20,12:55,CRANBOURNE,1,3 – DEVON MISS,L.LAFFERTY(A),33,WINNER,$2.00/ $1.22
13-Sep-20,13:15,DEVONPORT,2,9 – GEE GEES TEARDROP,B.MCCOULL,322,3RD,/$1.40
13-Sep-20,13:25,CRANBOURNE,2,8 – SAVANNAH CLOUD,L.NOLEN,32X,WINNER,$2.00 /$1.14
13-Sep-20,14:00,CRANBOURNE,3,3 – PROSECUTOR,J.MCNEIL,X43,3RD,/$1.60
13-Sep-20,14:05,SUNSHINE COAST,3,5 – DIVINE ASCOT,M.HELLYER,143,WINNER,$5.00 /$1.80
13-Sep-20,14:15,COFFS HARBOUR,3,2 – CANEXCELL,A.MCGUREN,22,2ND,/$1.22
13-Sep-20,14:35,CRANBOURNE,4,3 – HUMMALONG,J.MOTT,X2X,2ND,/$1.26
13-Sep-20,15:00,DEVONPORT,5,3 – STREET TOUGH,K.MASKIEL(A),143,WINNER,$2.70 /$1.55
13-Sep-20,15:05,DUBBO,6,7 – SPIRANAC,R.JONES(A),411,WINNER,$2.50 /$1.36
